airbnb_listing_id,price,ano,mes,dia,latitude,longitude,Address
40236441.0,199.0,2022.0,10.0,4.0,-27.1229,-48.61899,Morretes
53402429.0,2500.0,2022.0,10.0,9.0,-27.12714,-48.6062,Meia Praia
27867004.0,600.0,2022.0,10.0,13.0,-27.100616,-48.614845,Centro
48109229.0,500.0,2022.0,10.0,12.0,-27.13648,-48.59504,Meia Praia
48624860.0,350.0,2022.0,11.0,30.0,-27.14261,-48.59351,Meia Praia
39482705.0,480.0,2022.0,11.0,27.0,-27.06167,-48.59793,Ilhota
7.345678788215261e+17,300.0,2022.0,11.0,15.0,-27.0588367,-48.6049185,Ilhota
13145799.0,115.0,2022.0,10.0,24.0,-27.12972,-48.60748,Meia Praia
22245880.0,830.0,2022.0,10.0,21.0,-27.1397,-48.59001,Meia Praia
14884678.0,250.0,2022.0,10.0,19.0,-27.13012,-48.59922,Meia Praia
20286152.0,450.0,2022.0,9.0,17.0,-27.12745,-48.60629,Meia Praia
15314679.0,1260.0,2022.0,11.0,1.0,-27.13482,-48.59537,Meia Praia
35481220.0,498.0,2022.0,11.0,27.0,-27.14031,-48.59228,Meia Praia
23693720.0,420.0,2022.0,10.0,28.0,-27.09792,-48.61699,Centro
52433968.0,400.0,2022.0,10.0,27.0,-27.12937,-48.60072,Meia Praia
47782979.0,150.0,2022.0,11.0,12.0,-27.08978,-48.60731,Canto da Praia
52615766.0,500.0,2022.0,10.0,13.0,-27.1436,-48.5894,Meia Praia
46088002.0,287.0,2022.0,10.0,30.0,-27.1375,-48.59726,Meia Praia
40039627.0,338.0,2022.0,10.0,13.0,-27.0902,-48.61245,Centro
6.556491527908143e+17,400.0,2022.0,12.0,7.0,-27.1359139,-48.5978383,Meia Praia
25918412.0,190.0,2022.0,12.0,1.0,-27.12254,-48.60642,Meia Praia
46327364.0,250.0,2022.0,10.0,23.0,-27.0871,-48.61453,Meia Praia
22230032.0,1200.0,2022.0,11.0,29.0,-27.10091,-48.61608,Centro
53372578.0,250.0,2022.0,11.0,13.0,-27.13658,-48.5972,Centro
30785010.0,500.0,2022.0,11.0,3.0,-27.13524,-48.59563,Meia Praia
5159357.0,450.0,2022.0,10.0,29.0,-27.08253,-48.61317,Meia Praia
53334329.0,1000.0,2022.0,11.0,17.0,-27.13802,-48.59438,Centro
7.071263512010163e+17,900.0,2022.0,10.0,23.0,-27.1029927,-48.6136269,Meia Praia
31878628.0,500.0,2022.0,11.0,14.0,-27.14257,-48.58842,Centro
7.392407687989261e+17,1200.0,2022.0,10.0,28.0,-27.13702,-48.59268,Meia Praia
53803935.0,400.0,2022.0,11.0,19.0,-27.14353,-48.58944,Meia Praia
22810332.0,350.0,2022.0,11.0,22.0,-27.12723,-48.602,Meia Praia
47817545.0,175.0,2022.0,9.0,1.0,-27.1357,-48.59722,Meia Praia
