ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
41271947.0,3,2,3.0,-27.12545,-48.60587,2022.0,7.0,11.0,Meia Praia
29585722.0,3,3,4.0,-27.1324,-48.59712,2022.0,10.0,31.0,Meia Praia
6.943239468053193e+17,4,3,5.0,-27.12454,-48.60798,2022.0,10.0,31.0,Meia Praia
38730549.0,3,3,3.0,-27.1284,-48.60786,2022.0,10.0,31.0,Meia Praia
5.4980680555092704e+17,2,3,3.0,-27.12535,-48.60386,2022.0,12.0,5.0,Morretes
53895742.0,1,1,1.0,-27.15708,-48.5641,2022.0,9.0,26.0,Meia Praia
7.617645848269452e+17,4,4,5.0,-27.14,-48.592,2022.0,12.0,5.0,Canto da Praia
16675568.0,1,1,2.0,-27.08927,-48.60591,2022.0,12.0,5.0,Centro
45912139.0,2,3,1.0,-27.1583,-48.57604,2022.0,7.0,11.0,Meia Praia
36032020.0,2,3,5.0,-27.117,-48.608,2022.0,10.0,31.0,Meia Praia
30413869.0,2,3,3.0,-27.11894,-48.60691,2022.0,10.0,31.0,Meia Praia
45540748.0,2,3,3.0,-27.13137,-48.59802,2022.0,7.0,11.0,Meia Praia
6.042524676867302e+17,3,3,3.0,-27.11883,-48.60799,2022.0,10.0,24.0,Meia Praia
53717416.0,2,3,3.0,-27.13306,-48.60033,2022.0,10.0,17.0,Meia Praia
45780750.0,2,3,6.0,-27.12946,-48.60173,2022.0,10.0,17.0,Meia Praia
24755374.0,2,3,3.0,-27.121,-48.608,2022.0,10.0,17.0,Meia Praia
47817545.0,2,3,5.0,-27.1357,-48.59722,2022.0,10.0,17.0,Meia Praia
6.889898343913418e+17,3,3,3.0,-27.1522,-48.57224,2022.0,10.0,17.0,Meia Praia
40479311.0,2,3,5.0,-27.1301,-48.60191,2022.0,10.0,17.0,Meia Praia
6.297240912506738e+17,2,2,3.0,-27.13979,-48.59246,2022.0,10.0,17.0,Meia Praia
6.753464325821029e+17,2,3,4.0,-27.13917,-48.59562,2022.0,10.0,17.0,Meia Praia
48332300.0,3,3,3.0,-27.14933,-48.57653,2022.0,10.0,17.0,Meia Praia
46924699.0,2,3,3.0,-27.12422,-48.60663,2022.0,10.0,17.0,Meia Praia
23078040.0,2,3,3.0,-27.12485,-48.60471,2022.0,10.0,17.0,Meia Praia
